spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_p1_n1,control,4.4704999999999995,4.41,-0.060499999999999776,-0.013387432867668941,2,2,1,1,yes,no,
f16_p1_n7,control,4.779999999999999,4.7,-0.07999999999999963,-0.016581453985151904,2,2,1,1,yes,no,
f16_p1_n31,control,3.76,3.7504999999999997,-0.009500000000000064,-0.0020624027168529967,1,2,1,1,yes,no,
f16_p2_n7,control,3.96,4.04,0.08000000000000007,0.02020202020202022,0,2,1,1,yes,no,
f16_p2_n31,control,3.8705,3.91,0.03950000000000009,0.010545979428797304,1,2,1,1,yes,no,
f16_p2_n33,control,3.821,3.84,0.018999999999999684,0.005000054453393668,1,2,1,1,yes,no,
f16_p2_n255,control,3.6500000000000004,3.6100000000000003,-0.040000000000000036,-0.010735735735735745,1,2,1,1,yes,no,
f32_p2_n31,control,3.9105,3.96,0.0495000000000001,0.012713903813255652,1,2,1,1,yes,no,
