spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f32_same_4m,Greater,1050,150,900,42.422,43.04295,42.44114555555556,0.36423108039360313,0.008582027549582134,41.302,43.502,20,[20],0.942,0.238,0.456,0.337,PASS,specs/f32_same_4m/profile/PROF_000001_20260831201433005_DDJIAHGHJMIAAHJC/mindstudio_profiler_output/op_summary_20260831201449.csv
f32_same_8m,Greater,1050,150,900,86.763,87.824,86.80049333333334,0.5919374300267443,0.006819516886310449,84.503,88.783,40,[40],0.971,0.111,0.219,0.665,PASS,specs/f32_same_8m/profile/PROF_000001_20260831201457276_GFLIJGNFELFMBHKC/mindstudio_profiler_output/op_summary_20260831201513.csv
f16_5d_bcast,Greater,1050,150,900,4.761,5.16,4.765814444444445,0.24358463282176399,0.05111080921451168,4.22,5.441,20,[20],0.377,0.176,0.804,0.099,PASS,specs/f16_5d_bcast/profile/PROF_000001_20260831201521202_EQIFHALIGKHHFNDB/mindstudio_profiler_output/op_summary_20260831201536.csv
f16_tail_bouter,Greater,1050,150,900,36.841,38.50295,36.94333555555556,0.774331390916076,0.020959975033971495,34.541,40.262,40,[40],0.645,0.273,0.28,0.432,PASS,specs/f16_tail_bouter/profile/PROF_000001_20260831201544231_IKMHFQGGDPJJGJAB/mindstudio_profiler_output/op_summary_20260831201559.csv
f16_tail_bouter_rev,Greater,1050,150,900,35.721,37.221,35.81383888888889,0.6814136626152761,0.019026546266914777,34.222,38.942,40,[40],0.636,0.281,0.287,0.417,PASS,specs/f16_tail_bouter_rev/profile/PROF_000001_20260831201607076_QMCCMGHCNKLCCFNA/mindstudio_profiler_output/op_summary_20260831201621.csv
f16_p1_n10000,Greater,1050,150,900,4.74,5.16,4.756215555555555,0.2333822905359412,0.04906890526930307,4.26,5.56,20,[20],0.356,0.16,0.827,0.121,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831201629404_EDRRJOEGDNOCAROA/mindstudio_profiler_output/op_summary_20260831201644.csv
