spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f32_binner_16129,Greater,1050,150,900,86.584,88.22495,86.65933444444444,0.8624272518964022,0.009951925634154125,84.443,89.224,40,[40],0.946,0.342,0.493,0.463,PASS,specs/f32_binner_16129/profile/PROF_000001_20260901002150575_JEIRCPLOJMKOHQGB/mindstudio_profiler_output/op_summary_20260901002205.csv
f32_tail_same,Greater,1050,150,900,42.402,43.201,42.36595333333333,0.5430773794262144,0.01281872203260262,41.022,43.602,20,[20],0.949,0.227,0.432,0.164,PASS,specs/f32_tail_same/profile/PROF_000001_20260901002212662_DIQLGDRKRQOILQGA/mindstudio_profiler_output/op_summary_20260901002228.csv
f32_p1_large_inner,Greater,1050,150,900,203.349,204.80804999999998,203.24697111111112,1.0724000503796713,0.005276339639981209,200.528,205.729,40,[40],0.979,0.234,0.253,0.661,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260901002235850_HDORHKMFGAACRGAB/mindstudio_profiler_output/op_summary_20260901002252.csv
f32_p2_large_inner,Greater,1050,150,900,280.831,282.49295,280.84945,0.9643352821445917,0.003433637780471323,278.051,284.472,20,[20],0.717,0.444,0.455,0.42,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260901002259863_FJKOQDHNCGHHRBCA/mindstudio_profiler_output/op_summary_20260901002317.csv
f32_p1_tiny_inner_big,Greater,1050,150,900,1673.1970000000001,1687.93,1673.7913911111111,8.21950373483899,0.00491070976854687,1648.826,1699.748,40,[40],0.693,0.276,0.254,0.797,PASS,specs/f32_p1_tiny_inner_big/profile/PROF_000001_20260901002325017_MNJJOQCFLIGIKHCB/mindstudio_profiler_output/op_summary_20260901002343.csv
f32_p2_tiny_inner_big,Greater,1050,150,900,1995.2195000000002,2005.42305,1995.609121111111,5.69377169992683,0.002853149767503901,1981.199,2017.14,40,[40],0.665,0.269,0.281,0.721,PASS,specs/f32_p2_tiny_inner_big/profile/PROF_000001_20260901002350953_IPKCNRDPAJHIPKFB/mindstudio_profiler_output/op_summary_20260901002409.csv
bf16_same_big,Greater,1050,150,900,164.94650000000001,166.02605000000003,164.97183444444445,0.6083339126318903,0.003687501655543216,163.187,167.027,40,[40],0.97,0.336,0.322,0.4705,PASS,specs/bf16_same_big/profile/PROF_000001_20260901002417022_NMJMLQLLAQQFRJHB/mindstudio_profiler_output/op_summary_20260901002434.csv
bf16_bouter,Greater,1050,150,900,18.521,20.320050000000002,18.731704444444443,0.7150688073979876,0.03817425208254697,17.66,21.421,40,[40],0.583,0.615,0.668,0.1725,PASS,specs/bf16_bouter/profile/PROF_000001_20260901002442305_OPHCOPQOCAKIJHDC/mindstudio_profiler_output/op_summary_20260901002457.csv
bf16_binner,Greater,1050,150,900,22.361,23.161,22.365447777777774,0.4783349506889679,0.021387228882769775,21.26,23.581,40,[40],0.438,0.664,0.76,0.135,PASS,specs/bf16_binner/profile/PROF_000001_20260901002504888_HIPIEKBCFGQBPBHB/mindstudio_profiler_output/op_summary_20260901002518.csv
i32_same_big,Greater,1050,150,900,163.087,164.147,163.1284688888889,0.5667467748561753,0.003474235850532021,161.627,165.007,40,[40],0.979,0.283,0.254,0.4485,PASS,specs/i32_same_big/profile/PROF_000001_20260901002526048_IOEQPGPFHHMNFKIA/mindstudio_profiler_output/op_summary_20260901002541.csv
