spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_large_inner,Greater,1050,150,900,333.793,335.53495000000004,333.79902999999996,1.0545170470093563,0.003159137541560131,330.354,336.813,40,[40],0.887,0.306,0.528,0.637,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831232516056_HCNAGJLPEBLADJKC/mindstudio_profiler_output/op_summary_20260831232534.csv
f32_p1_large_inner,Greater,1050,150,900,253.811,255.57,253.60925666666668,1.280789458675998,0.005050247280048668,250.21,256.931,40,[40],0.935,0.236,0.335,0.648,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831232542067_LKGRMMJFRILAOLCA/mindstudio_profiler_output/op_summary_20260831232559.csv
f16_p2_large_inner,Greater,1050,150,900,633.085,635.7860000000001,633.0452377777779,1.6497524336550076,0.002606057727321742,628.905,638.006,20,[20],0.6,0.351,0.617,0.3965,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831232606902_JOBNFDQQKRPFJIJA/mindstudio_profiler_output/op_summary_20260831232624.csv
f32_p2_large_inner,Greater,1050,150,900,361.054,362.69405,361.0791344444445,0.9517522522707628,0.00263585502866325,358.774,364.295,20,[20],0.583,0.394,0.531,0.368,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831232631963_QDNCKPPLKRDJMQKA/mindstudio_profiler_output/op_summary_20260831232647.csv
f16_p2_tiny_inner_big,Greater,1050,150,900,1449.688,1463.038,1450.2073722222221,7.647944546253049,0.0052736902961220905,1430.777,1477.0,40,[40],0.774,0.202,0.172,0.775,PASS,specs/f16_p2_tiny_inner_big/profile/PROF_000001_20260831232655007_CGQQBPALDMAIIRGB/mindstudio_profiler_output/op_summary_20260831232712.csv
f32_p2_tiny_inner_big,Greater,1050,150,900,1996.31,2006.8810500000002,1996.6724666666667,5.882813281453397,0.0029463086107830326,1978.159,2017.58,40,[40],0.666,0.268,0.282,0.721,PASS,specs/f32_p2_tiny_inner_big/profile/PROF_000001_20260831232720028_BNBAQAFOKPFBOJDB/mindstudio_profiler_output/op_summary_20260831232738.csv
f16_5d_bcast,Greater,1050,150,900,4.74,5.081949999999999,4.748587777777778,0.2011770753053018,0.04236566421847796,4.3,5.56,20,[20],0.337,0.169,0.694,0.081,PASS,specs/f16_5d_bcast/profile/PROF_000001_20260831232746098_ICLKJNGCNDAJGOEA/mindstudio_profiler_output/op_summary_20260831232800.csv
scalar,Greater,1050,150,900,2.2,2.38,2.2044200000000003,0.09797718124361628,0.04444578675734037,1.96,2.56,1,[1],0.214,0.124,0.955,0.073,PASS,specs/scalar/profile/PROF_000001_20260831232808310_ALENLHMQOJDRHKFB/mindstudio_profiler_output/op_summary_20260831232823.csv
