pair,target_a_us,target_b_us,target_gain_us,target_gain_relative,global_a_us,global_b_us,global_gain_us,global_gain_relative
1,1193.569,870.836,322.73299999999995,0.27039324915442675,4612.205,3987.0305000000003,625.1744999999996,0.13554785617725137
2,1171.546,859.0135,312.5325,0.26676929459022525,4589.002,3954.1375000000003,634.8645000000001,0.13834478607767006
