round,parent_sum_us,candidate_sum_us,delta_us,improvement_percent,candidate_faster
1,774.419,631.653,-142.76599999999996,18.435239837865545,True
2,781.3345,646.2005,-135.13400000000001,17.29528134237001,True
3,766.8829999999998,632.415,-134.46799999999985,17.534356609808782,True
4,749.1599999999999,641.2264999999999,-107.93349999999998,14.407269475145496,True
5,778.1364999999998,640.0745,-138.0619999999999,17.742645409899154,True
6,750.5215,627.2465000000001,-123.27499999999986,16.425245645860894,True
