spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_large_inner,Greater,1050,150,900,234.049,235.80904999999998,234.04126222222223,1.0866618661016436,0.004643035402320886,231.429,236.89,40,[40],0.949,0.317,0.426,0.682,PASS,specs/f16_p1_large_inner/profile/PROF_000001_20260831231044878_QLCJFMHONMCOIJAA/mindstudio_profiler_output/op_summary_20260831231101.csv
f32_p1_large_inner,Greater,1050,150,900,203.148,204.328,203.05405555555555,0.842976358718336,0.004151487427384566,200.588,205.548,40,[40],0.978,0.234,0.253,0.658,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831231108903_RAOIKMOFNINEGGKB/mindstudio_profiler_output/op_summary_20260831231126.csv
f16_p2_large_inner,Greater,1050,150,900,457.618,459.678,457.64327555555553,1.1858904856980408,0.002591298832608062,454.458,461.298,20,[20],0.657,0.389,0.555,0.448,PASS,specs/f16_p2_large_inner/profile/PROF_000001_20260831231134194_LGGFGQAJRCHRIBEC/mindstudio_profiler_output/op_summary_20260831231152.csv
f32_p2_large_inner,Greater,1050,150,900,280.252,282.15105,280.32528,1.0275236820412241,0.0036654692079188295,277.891,284.652,20,[20],0.716,0.446,0.456,0.42,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831231200007_EBIFNLGOLBRAEPMB/mindstudio_profiler_output/op_summary_20260831231217.csv
f16_p2_tiny_inner_big,Greater,1050,150,900,1452.9485,1465.19805,1453.2377055555555,6.840856111057397,0.00470732082226164,1435.077,1477.259,40,[40],0.769,0.205,0.169,0.774,PASS,specs/f16_p2_tiny_inner_big/profile/PROF_000001_20260831231225196_RHMOBARBGNHDPDLC/mindstudio_profiler_output/op_summary_20260831231243.csv
f32_p2_tiny_inner_big,Greater,1050,150,900,1994.27,2004.5010499999999,1994.6088144444443,5.520991383600537,0.0027679569766356875,1979.939,2013.101,40,[40],0.665,0.269,0.282,0.721,PASS,specs/f32_p2_tiny_inner_big/profile/PROF_000001_20260831231251487_KAMECAMLAFPHKCMA/mindstudio_profiler_output/op_summary_20260831231308.csv
f16_5d_bcast,Greater,1050,150,900,4.72,5.08,4.736183333333333,0.20195669158950336,0.04264123184762063,4.3,5.4,20,[20],0.328,0.171,0.721,0.082,PASS,specs/f16_5d_bcast/profile/PROF_000001_20260831231316300_NNNBDIKAMGCBRCGB/mindstudio_profiler_output/op_summary_20260831231331.csv
scalar,Greater,1050,150,900,2.08,2.22,2.0847144444444443,0.07219771935627134,0.034631946619198155,1.9,2.4,1,[1],0.276,0.119,0.963,0.07,PASS,specs/scalar/profile/PROF_000001_20260831231339374_GJLQAJLQDCROLORA/mindstudio_profiler_output/op_summary_20260831231354.csv
