spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f32_same_4m,control,42.842,42.802,-0.03999999999999915,-0.0007918657592862442,1,2,20,20,yes,no,
f32_same_8m,control,84.47300000000001,85.2435,0.7704999999999913,0.009792602695295671,1,2,40,40,yes,no,
f16_5d_bcast,control,4.771,4.74,-0.03100000000000014,-0.0064844384854791815,2,2,20,20,yes,no,
f16_tail_bouter,control,35.461,35.431,-0.030000000000001137,0.0006804594518734532,1,2,40,40,yes,no,
f16_tail_bouter_rev,control,35.021,34.311499999999995,-0.7094999999999985,-0.020136332256543682,2,2,40,40,yes,no,
f16_p1_n10000,control,4.79525,4.6905,-0.10475000000000056,-0.021593308706701807,1,2,20,20,yes,no,
