release_id,created_at,status,source_commit,package,zip_sha256,run_sha256,manifest,official_feedback
Greater-20260722_185315,2026-07-22T18:53:15+08:00,historical_accepted,unknown,Greater_20260722_185315.zip,366ea93c50af81f88b86d96b383a3626adbd039b4e6f761abb3477fafea39829,1eaedd46035ef611e31fe35a7ae5144abafcc51dbe159beb1725d089693cda4d,,docs/result-20260720-2.txt
Greater-20260831_104109,2026-08-31T10:41:09+08:00,superseded,9a9b781b5f4bb26f0ae039f50a1b5fe539cf0497,Greater_20260831_104109.zip,0d31a097f849cf05c4fbc4522ffc5f762a0c63a7f2bb54278227c5e0c3806244,f208b8144369721fdab934c8ee039fdc59a39f84ced298d33458e65dd396918c,,
Greater-20260831_104337,2026-08-31T10:43:37+08:00,official_accepted,9a9b781b5f4bb26f0ae039f50a1b5fe539cf0497,Greater_20260831_104337.zip,9ac0049ed05a72e12102645dadb87026bfd45e740fe027cceaba5d585bbc537e,0c1afa6a1d352757b8156fc2c3b7cf76bfb67cee23389144959d421d75b5a043,,docs/result-20260720-2.txt
Greater-20260901_090847,2026-09-01T09:08:47+08:00,package_verified,9a9b781b5f4bb26f0ae039f50a1b5fe539cf0497,releases/Greater-20260901_090847/Greater-20260901_090847.zip,373fa4c2e5a80e7cc0f7a50e59d40fd7106d1cb4a9d0b3149f1cf625da8dcf4b,a23522762ddba5bbea9f2f56877a79ce417e0a07c068786502087be48546af8a,releases/Greater-20260901_090847/manifest.yaml,
