spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p1_n257,Greater,1050,150,900,3.52,3.88,3.55491,0.1710215766439363,0.04810855314028662,3.281,4.26,1,[1],0.333,0.229,0.577,0.255,PASS,specs/f16_p1_n257/profile/PROF_000001_20260831192918735_HKLOEKFIKGRHBHHB/mindstudio_profiler_output/op_summary_20260831192933.csv
f16_p2_n257,Greater,1050,150,900,4.54,4.76,4.558737777777777,0.10783428704140621,0.023654417581783264,4.34,4.94,1,[1],0.236,0.348,0.686,0.209,PASS,specs/f16_p2_n257/profile/PROF_000001_20260831192941143_AOCJMQJHRFIGOEKC/mindstudio_profiler_output/op_summary_20260831192956.csv
f16_p1_n777,Greater,1050,150,900,4.06,4.36,4.057118888888889,0.1753699463638349,0.04322524214020826,3.7,4.68,2,[2],0.418,0.209,0.519,0.219,PASS,specs/f16_p1_n777/profile/PROF_000001_20260831193003895_OBPMGNBORGNMELJB/mindstudio_profiler_output/op_summary_20260831193019.csv
f16_p2_n777,Greater,1050,150,900,4.5,4.7,4.484292222222222,0.15567010041022133,0.0347145307878883,3.96,5.16,2,[2],0.35,0.247,0.601,0.198,PASS,specs/f16_p2_n777/profile/PROF_000001_20260831193027401_LEIJKDRQAFHGAHQB/mindstudio_profiler_output/op_summary_20260831193042.csv
f16_p1_n1000,Greater,1050,150,900,3.7,3.98,3.717497777777778,0.14213848097133827,0.038234987474909776,3.4,4.22,3,[3],0.382,0.164,0.479,0.1435,PASS,specs/f16_p1_n1000/profile/PROF_000001_20260831193050057_GLGLGCHHHACEGRDA/mindstudio_profiler_output/op_summary_20260831193106.csv
f16_p2_n1000,Greater,1050,150,900,3.52,3.72,3.521965555555555,0.11774252480269647,0.03343091320611276,3.26,4.22,3,[3],0.266,0.2325,0.64,0.135,PASS,specs/f16_p2_n1000/profile/PROF_000001_20260831193114012_BPJIKQQGQMDPDRHA/mindstudio_profiler_output/op_summary_20260831193128.csv
f16_p1_n10000,Greater,1050,150,900,4.78,5.2,4.793823333333333,0.24459436922291478,0.05102281669876197,4.28,5.78,20,[20],0.38,0.156,0.791,0.135,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831193136136_QLBDFOAQBHEJGPIA/mindstudio_profiler_output/op_summary_20260831193150.csv
f16_p2_n10000,Greater,1050,150,900,5.0,5.38195,5.017597777777778,0.2335259785585501,0.04654139070150326,4.5,5.981,20,[20],0.362,0.172,0.704,0.132,PASS,specs/f16_p2_n10000/profile/PROF_000001_20260831193158314_CPGQBGBAEQREBARB/mindstudio_profiler_output/op_summary_20260831193214.csv
f16_p2_outer1,Greater,1050,150,900,2.6,2.8000499999999997,2.6074033333333335,0.10806137448485262,0.04144405781161051,2.38,3.021,1,[1],0.32,0.11,0.704,0.104,PASS,specs/f16_p2_outer1/profile/PROF_000001_20260831193222395_GLBNMMRJAEKBEEOA/mindstudio_profiler_output/op_summary_20260831193236.csv
f16_p2_outer19,Greater,1050,150,900,3.38,3.62,3.4024077777777775,0.11095939870839425,0.032612022413393796,3.22,3.96,3,[3],0.268,0.222,0.63,0.138,PASS,specs/f16_p2_outer19/profile/PROF_000001_20260831193244349_DLQKLLGOQNNFRCMC/mindstudio_profiler_output/op_summary_20260831193259.csv
f16_p2_outer20,Greater,1050,150,900,3.66,3.9400500000000003,3.679191111111111,0.15315664867089107,0.04162780460312592,3.26,4.141,3,[3],0.304,0.214,0.6014999999999999,0.133,PASS,specs/f16_p2_outer20/profile/PROF_000001_20260831193307491_LOOJNHLNKLINCBNC/mindstudio_profiler_output/op_summary_20260831193322.csv
f16_p2_outer21,Greater,1050,150,900,3.82,4.08,3.832482222222222,0.12444163609926427,0.03247024483967682,3.56,4.221,3,[3],0.294,0.211,0.6105,0.133,PASS,specs/f16_p2_outer21/profile/PROF_000001_20260831193330508_OBFDOIRPRRHNCOHC/mindstudio_profiler_output/op_summary_20260831193345.csv
f32_p2_n7,Greater,1050,150,900,4.52,4.72,4.525586666666666,0.1085344709195091,0.023982409113700715,4.26,5.18,1,[1],0.442,0.149,0.447,0.286,PASS,specs/f32_p2_n7/profile/PROF_000001_20260831193353347_ENOFHJMNBDPEMKFA/mindstudio_profiler_output/op_summary_20260831193410.csv
f32_p2_n31,Greater,1050,150,900,3.82,4.06,3.8247288888888886,0.1277976258207956,0.03341351231248229,3.58,4.38,1,[1],0.39,0.179,0.564,0.34,PASS,specs/f32_p2_n31/profile/PROF_000001_20260831193417681_JCNABDHPLGFCEDEC/mindstudio_profiler_output/op_summary_20260831193433.csv
f32_p2_n255,Greater,1050,150,900,3.54,3.8000499999999997,3.5483955555555555,0.13756993850491803,0.038769617521792706,3.26,4.241,2,[2],0.352,0.125,0.527,0.185,PASS,specs/f32_p2_n255/profile/PROF_000001_20260831193440564_QHNEBAFJCHAECPCC/mindstudio_profiler_output/op_summary_20260831193455.csv
