spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
i8_same_big,Greater,1050,150,900,179.747,181.007,179.81699444444445,1.3904603701940754,0.0077326415920252,177.628,202.689,40,[40],0.963,0.389,0.373,0.526,PASS,specs/i8_same_big/profile/PROF_000001_20260831195300820_ECJLJLRQJFQPDDPB/mindstudio_profiler_output/op_summary_20260831195316.csv
i8_bouter,Greater,1050,150,900,44.622,45.522,44.65266444444445,0.5252235552200841,0.011762423625885799,43.381,46.581,40,[40],0.406,0.767,0.762,0.166,PASS,specs/i8_bouter/profile/PROF_000001_20260831195324094_GRDMRAGIHIFGGHOA/mindstudio_profiler_output/op_summary_20260831195340.csv
i8_binner,Greater,1050,150,900,42.922,43.84105,42.96904333333334,0.5091741824977206,0.011849790989010163,41.662,44.362,40,[40],0.44,0.737,0.865,0.173,PASS,specs/i8_binner/profile/PROF_000001_20260831195347908_LRMRNFDJMHADQAJA/mindstudio_profiler_output/op_summary_20260831195402.csv
scalar,Greater,1050,150,900,2.18,2.3600499999999998,2.196877777777778,0.08832362560213526,0.04020415996536586,2.04,2.64,1,[1],0.258,0.111,0.964,0.065,PASS,specs/scalar/profile/PROF_000001_20260831195410295_LFDMEFNNQNGONNGB/mindstudio_profiler_output/op_summary_20260831195426.csv
f16_bscalar_x,Greater,1050,150,900,29.562,30.541,29.611234444444445,0.5518244704132951,0.018635645584064005,28.241,31.701,40,[40],0.642,0.543,0.609,0.142,PASS,specs/f16_bscalar_x/profile/PROF_000001_20260831195434241_QHOFFLGJQMMMKJNA/mindstudio_profiler_output/op_summary_20260831195450.csv
f16_tail_1d,Greater,1050,150,900,2.401,2.721949999999999,2.433412222222222,0.1286456462343819,0.052866359862736745,2.22,3.04,4,[4],0.269,0.106,0.922,0.082,PASS,specs/f16_tail_1d/profile/PROF_000001_20260831195458042_RAEPMMQAFMEEHOKA/mindstudio_profiler_output/op_summary_20260831195512.csv
f16_tail_p1,Greater,1050,150,900,3.62,3.86,3.6465933333333336,0.11763866125650281,0.032259879428060564,3.4,4.34,3,[3],0.357,0.167,0.525,0.132,PASS,specs/f16_tail_p1/profile/PROF_000001_20260831195520391_PRBAOHEQQGPGBCQB/mindstudio_profiler_output/op_summary_20260831195534.csv
f16_tail_p1_rev,Greater,1050,150,900,3.5,3.72,3.50225,0.11498139342229832,0.03283072122843838,3.201,3.881,3,[3],0.368,0.172,0.51,0.137,PASS,specs/f16_tail_p1_rev/profile/PROF_000001_20260831195542682_ENFRPMQCHCQDMHOA/mindstudio_profiler_output/op_summary_20260831195558.csv
f16_tail_p2,Greater,1050,150,900,3.52,3.741949999999999,3.5327355555555555,0.12642673355752218,0.03578720557181371,3.26,4.16,3,[3],0.273,0.231,0.632,0.134,PASS,specs/f16_tail_p2/profile/PROF_000001_20260831195606215_NKFRNRDAFJILKDEC/mindstudio_profiler_output/op_summary_20260831195620.csv
f16_tail_p2_rev,Greater,1050,150,900,3.6,3.84,3.6134488888888887,0.11942351643015378,0.03304973173894144,3.38,4.2,3,[3],0.268,0.225,0.642,0.131,PASS,specs/f16_tail_p2_rev/profile/PROF_000001_20260831195628221_PDBMOACJMJPNRDKA/mindstudio_profiler_output/op_summary_20260831195642.csv
f32_tail_p1,Greater,1050,150,900,3.78,4.04,3.8009255555555557,0.1222869213149605,0.032172932494355745,3.58,4.36,5,[5],0.369,0.147,0.536,0.132,PASS,specs/f32_tail_p1/profile/PROF_000001_20260831195650505_HHBLGRECJQMQLMHC/mindstudio_profiler_output/op_summary_20260831195706.csv
f32_tail_p1_rev,Greater,1050,150,900,3.84,4.081,3.853381111111111,0.12192417625032771,0.03164082989319767,3.6,4.4,5,[5],0.385,0.145,0.514,0.131,PASS,specs/f32_tail_p1_rev/profile/PROF_000001_20260831195713550_KLPFCQBAKQMCRKAA/mindstudio_profiler_output/op_summary_20260831195729.csv
f32_tail_p2,Greater,1050,150,900,3.36,3.58,3.3901199999999996,0.1095684212414021,0.03231992414469167,3.2,3.96,5,[5],0.262,0.174,0.665,0.142,PASS,specs/f32_tail_p2/profile/PROF_000001_20260831195736325_BILMLACNRDDJOJBC/mindstudio_profiler_output/op_summary_20260831195751.csv
f32_tail_p2_rev,Greater,1050,150,900,3.38,3.58005,3.3939677777777777,0.10121507389687874,0.0298220491542645,3.181,3.82,5,[5],0.261,0.175,0.668,0.143,PASS,specs/f32_tail_p2_rev/profile/PROF_000001_20260831195758413_EPLBEJBNKGRNOAHB/mindstudio_profiler_output/op_summary_20260831195813.csv
bf16_tail_p1,Greater,1050,150,900,3.98,4.2,3.9888488888888887,0.123308427435205,0.03091328623119466,3.72,4.5,4,[4],0.336,0.215,0.553,0.111,PASS,specs/bf16_tail_p1/profile/PROF_000001_20260831195820770_NHOBECRMMNPALJFA/mindstudio_profiler_output/op_summary_20260831195836.csv
bf16_tail_p1_rev,Greater,1050,150,900,3.9705,4.161,3.9911122222222217,0.1037073214256542,0.025984566619855837,3.68,4.461,4,[4],0.337,0.212,0.5405,0.113,PASS,specs/bf16_tail_p1_rev/profile/PROF_000001_20260831195843868_PNRIRENLFCQILIAC/mindstudio_profiler_output/op_summary_20260831195859.csv
bf16_tail_p2,Greater,1050,150,900,3.82,4.06,3.8458699999999997,0.11059622150467485,0.028757139868137733,3.581,4.36,4,[4],0.24,0.273,0.663,0.121,PASS,specs/bf16_tail_p2/profile/PROF_000001_20260831195906570_FGBBGOQQNRGOLHEB/mindstudio_profiler_output/op_summary_20260831195923.csv
bf16_tail_p2_rev,Greater,1050,150,900,3.82,4.08,3.838688888888889,0.12517451324224146,0.03260866323513738,3.62,4.58,4,[4],0.242,0.28,0.658,0.125,PASS,specs/bf16_tail_p2_rev/profile/PROF_000001_20260831195930556_OEKBKNPFQCGCGLDA/mindstudio_profiler_output/op_summary_20260831195945.csv
i32_tail_p1,Greater,1050,150,900,4.26,4.5,4.28027,0.11747168637590936,0.02744492435661988,4.06,4.8,6,[6],0.3,0.239,0.563,0.115,PASS,specs/i32_tail_p1/profile/PROF_000001_20260831195952622_IDNQHDRJOFDAPIDA/mindstudio_profiler_output/op_summary_20260831200006.csv
i32_tail_p1_rev,Greater,1050,150,900,4.421,4.721,4.445366666666667,0.14829306194904135,0.03335901694251873,4.12,5.1,6,[6],0.329,0.228,0.543,0.11,PASS,specs/i32_tail_p1_rev/profile/PROF_000001_20260831200013832_CDOGIMDEINLNDPAC/mindstudio_profiler_output/op_summary_20260831200029.csv
i32_tail_p2,Greater,1050,150,900,4.06,4.32,4.077405555555556,0.12400988747417696,0.03041392026976829,3.78,4.7,6,[6],0.215,0.272,0.639,0.109,PASS,specs/i32_tail_p2/profile/PROF_000001_20260831200036779_LBMQKBNGIOBFNCQA/mindstudio_profiler_output/op_summary_20260831200052.csv
i32_tail_p2_rev,Greater,1050,150,900,4.06,4.28,4.074537777777778,0.11321489750595526,0.027785948659850644,3.801,4.72,6,[6],0.212,0.274,0.643,0.109,PASS,specs/i32_tail_p2_rev/profile/PROF_000001_20260831200059785_NMGEDDPRNLDRDAEB/mindstudio_profiler_output/op_summary_20260831200113.csv
i8_tail_p1,Greater,1050,150,900,3.6,3.84,3.6115811111111116,0.12040991597635178,0.03333994510213489,3.38,4.12,3,[3],0.281,0.259,0.57,0.126,PASS,specs/i8_tail_p1/profile/PROF_000001_20260831200121009_FFOHGEBFBFKMHIDA/mindstudio_profiler_output/op_summary_20260831200136.csv
i8_tail_p1_rev,Greater,1050,150,900,3.62,3.881949999999999,3.6324722222222223,0.11847439622858769,0.03261536193003813,3.38,4.16,3,[3],0.279,0.257,0.574,0.13,PASS,specs/i8_tail_p1_rev/profile/PROF_000001_20260831200144007_FLOGQFPFNNJPCCGA/mindstudio_profiler_output/op_summary_20260831200159.csv
i8_tail_p2,Greater,1050,150,900,3.46,3.721949999999999,3.481202222222222,0.12468601095710406,0.03581693995286228,3.28,4.04,3,[3],0.249,0.247,0.663,0.141,PASS,specs/i8_tail_p2/profile/PROF_000001_20260831200207182_GKIAJCNPLANDBAEC/mindstudio_profiler_output/op_summary_20260831200222.csv
i8_tail_p2_rev,Greater,1050,150,900,3.48,3.74,3.4899766666666663,0.13338073536559422,0.03821823126771456,3.18,3.96,3,[3],0.248,0.247,0.672,0.1405,PASS,specs/i8_tail_p2_rev/profile/PROF_000001_20260831200230056_KBEGGDCFQIMKMPHB/mindstudio_profiler_output/op_summary_20260831200244.csv
f16_p1_n1,Greater,1050,150,900,4.7,4.961949999999999,4.707493333333333,0.13552248259565236,0.028788672229449582,4.44,5.261,1,[1],0.367,0.101,0.375,0.279,PASS,specs/f16_p1_n1/profile/PROF_000001_20260831200252323_ANEOGRDMHGIDEHCC/mindstudio_profiler_output/op_summary_20260831200307.csv
f16_p2_n1,Greater,1050,150,900,2.1,2.26,2.114535555555556,0.0728928274342409,0.034472263775715814,1.98,2.4,1,[1],0.276,0.117,0.963,0.076,PASS,specs/f16_p2_n1/profile/PROF_000001_20260831200315199_GROGDFOOIQRDAHBC/mindstudio_profiler_output/op_summary_20260831200330.csv
f16_p1_n7,Greater,1050,150,900,3.98,4.2,3.975328888888889,0.1284584612882437,0.03231392040223068,3.72,4.38,1,[1],0.302,0.122,0.413,0.307,PASS,specs/f16_p1_n7/profile/PROF_000001_20260831200338251_KNABNDMOFQFNGFOA/mindstudio_profiler_output/op_summary_20260831200354.csv
f16_p2_n7,Greater,1050,150,900,4.1,4.36,4.1129,0.13220699678912615,0.032144471489490664,3.84,4.561,1,[1],0.296,0.118,0.423,0.302,PASS,specs/f16_p2_n7/profile/PROF_000001_20260831200402256_QKEQFNACJCIHNRLB/mindstudio_profiler_output/op_summary_20260831200416.csv
f16_p1_n31,Greater,1050,150,900,3.82,4.0,3.8212211111111114,0.10570733706737925,0.02766323486489959,3.58,4.36,1,[1],0.251,0.128,0.466,0.31,PASS,specs/f16_p1_n31/profile/PROF_000001_20260831200424306_OGAKBCLMCHHLFPCC/mindstudio_profiler_output/op_summary_20260831200438.csv
