round,parent_sum_us,candidate_sum_us,delta_us,improvement_percent,candidate_faster
1,761.8485,720.2165000000001,-41.631999999999834,5.464603526816663,True
2,753.8390000000002,741.617,-12.222000000000207,1.6213011001023034,True
3,743.649,749.4124999999999,5.763499999999908,-0.7750296174673681,False
4,749.3325000000001,732.8145,-16.518000000000143,2.2043618820750654,True
5,737.9750000000001,750.5060000000002,12.531000000000063,-1.6980250008469204,False
6,753.4189999999999,735.071,-18.347999999999843,2.4352982868762063,True
